UID        PID  PPID  C STIME TTY          TIME CMD
www-data  1102  1070  0 Jun06 ?        00:00:00 php-fpm: pool www
root      1109     1  0 Jun06 ?        00:03:03 /usr/sbin/sshd -D
root      1110     1  0 Jun06 ?        03:10:19 /usr/sbin/bacula-fd -fP -c /etc/bacula/bacula-fd.conf
root      1114     1  0 Jun06 ?        00:20:10 /sbin/apcupsd
root      1132     2  0 Jun06 ?        00:00:08 [jbd2/dm-8-8]
root      1135     2  0 Jun06 ?        00:00:00 [ext4-rsv-conver]
avahi     1146  1082  0 Jun06 ?        00:00:00 avahi-daemon: chroot helper
bind      1149     1  0 Jun06 ?        00:29:29 /usr/sbin/named -u bind -t /var/lib/named
root      1177     1  0 Jun06 ?        00:07:09 /usr/lib/policykit-1/polkitd --no-debug
root      1188     2  0 Jun06 ?        00:00:41 [jbd2/dm-13-8]
root      1189     2  0 Jun06 ?        00:00:00 [ext4-rsv-conver]
www-data  1213 29983  0 14:30 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1214 29983  0 14:30 ?        00:00:00 /usr/sbin/apache2 -k start
colord    1215     1  0 Jun06 ?        00:00:00 /usr/lib/colord/colord
root      1237     1  0 Jun06 ?        00:00:40 /usr/sbin/cron -f
daemon    1251     1  0 Jun06 ?        00:00:00 /usr/sbin/atd -f
root      1252     1  0 Jun06 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
root      1301     2  0 11:53 ?        00:00:00 [kworker/5:0-mm_percpu_wq]
root      1439  1109  0 Aug03 ?        00:00:00 sshd: steve [priv]
steve     1465  1439  0 Aug03 ?        00:00:17 sshd: steve@pts/8
steve     1466  1465  0 Aug03 pts/8    00:00:00 -bash
root      1472     2  0 13:31 ?        00:00:00 [kworker/17:2-mm_percpu_wq]
julloa    1484   602  0 14:10 pts/18   00:00:00 vi first.html
root      1770     1  0 Jun06 ?        00:00:00 /usr/bin/perl -w /usr/sbin/psad
root      1771  1770  0 Jun06 ?        00:00:55 /bin/journalctl -f -k
root      2076  1114  0 Jun06 ?        00:00:00 [apccontrol] <defunct>
steve     2277     1  0 Jun06 ?        00:00:18 /lib/systemd/systemd --user
steve     2280  2277  0 Jun06 ?        00:00:00 (sd-pam)
root      2297     2  0 Jun06 ?        00:00:09 [jbd2/dm-7-8]
root      2299     2  0 Jun06 ?        00:00:00 [ext4-rsv-conver]
nmounma+  2310   943  0 13:32 ?        00:00:00 sshd: nmounmanivon@notty
nmounma+  2311  2310  0 13:32 ?        00:00:00 bash
nmounma+  2354  2311  0 13:32 ?        00:00:00 sh /home/stu/nmounmanivon/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/server.sh --start-server --host=127.0.0.1 --enable-remote-auto-shutdown --port=0 --connection-secret /home/stu/nmounmanivon/.vscode-server/.3866c3553be8b268c8a7f8c0482c0c0177aa8bfa.token
steve     2357  9927  0 Aug18 pts/2    00:00:00 tmux -2 new-session -t 1 -s _1-2357
nmounma+  2362  2354  0 13:32 ?        00:00:07 /home/stu/nmounmanivon/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/node /home/stu/nmounmanivon/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/out/vs/server/main.js --start-server --host=127.0.0.1 --enable-remote-auto-shutdown --port=0 --connection-secret /home/stu/nmounmanivon/.vscode-server/.3866c3553be8b268c8a7f8c0482c0c0177aa8bfa.token
www-data  2420 29983  0 14:30 ?        00:00:00 /usr/sbin/apache2 -k start
nmounma+  2424  2362  0 13:32 ?        00:00:05 /home/stu/nmounmanivon/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/node /home/stu/nmounmanivon/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/out/bootstrap-fork --type=ptyHost
melissa   2438     1  0 Jun07 ?        00:00:18 /lib/systemd/systemd --user
melissa   2439  2438  0 Jun07 ?        00:00:00 (sd-pam)
root      2496     2  0 Jun06 ?        00:10:03 [jbd2/dm-9-8]
root      2497     2  0 Jun06 ?        00:00:00 [ext4-rsv-conver]
root      2504     2  0 Jun06 ?        00:02:51 [jbd2/dm-11-8]
root      2505     2  0 Jun06 ?        00:00:00 [ext4-rsv-conver]
root      2507     2  0 Jun06 ?        00:00:05 [jbd2/dm-10-8]
root      2508     2  0 Jun06 ?        00:00:00 [ext4-rsv-conver]
bacula    2544     1  0 Jun06 ?        07:42:45 /usr/sbin/bacula-sd -fP -c /etc/bacula/bacula-sd.conf
www-data  2684 29983  0 Aug22 ?        00:00:00 /usr/sbin/apache2 -k start
bacula    2767     1  0 Jun06 ?        00:02:20 /usr/sbin/bacula-dir -fP -c /etc/bacula/bacula-dir.conf
root      2806     2  0 Jun20 ?        00:00:00 [xfsalloc]
root      2807     2  0 Jun20 ?        00:00:00 [xfs_mru_cache]
root      2815     2  0 Jun20 ?        00:00:00 [jfsIO]
root      2816     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2817     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2818     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2819     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2820     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2821     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2822     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2823     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2824     2  0 Jun20 ?        00:00:00 [jfsCommit]
